DNS DATA ->,Velocity_average:u,y,,Velocity_average:u,y@x=-0.36
,0.00013,0.50447,,0.00735146008622367,0.502060310174811
,0.0012,0.50897,,0.0998759887776901,0.505750010926982
,0.03583,0.51247,,0.146904930241078,0.50985496267377
,0.07146,0.51681,,0.0748376410987568,0.519754824878094
,0.10708,0.52062,,0.00421113065825307,0.526034434656107
,0.14267,0.52305,,-0.0775715261006333,0.533992836833549
,0.17825,0.52538,,-0.159345087241442,0.540589928171933
,0.21384,0.52763,,-0.241131303155228,0.54908101719944
,0.24942,0.52987,,-0.311319107996863,0.568519759617688
,0.285,0.53186,,-0.211652404963337,0.585137760929143
,0.32058,0.53384,,-0.129962681693512,0.591088404281206
,0.35616,0.53591,,-0.0482725629620311,0.596979860205483
,0.39174,0.53816,,0.0334226967709725,0.602101879568554
,0.42731,0.53962,,0.11512388842881,0.606336087514847
,0.46287,0.54116,,0.196826266471613,0.610392733177786
,0.49844,0.54271,,0.278530621822695,0.614153441701799
,0.53402,0.54461,,0.360236559020399,0.617677400514671
,0.56959,0.54642,,0.441938937063203,0.62173404617761
,0.60517,0.54823,,0.523644083337596,0.625376379846052
,0.64073,0.54951,,0.605351997843578,0.628604401519999
,0.67631,0.5515,,0.687054771348037,0.632601859755152
,0.71188,0.55348,,0.768759126699119,0.636362568279165
,0.74747,0.55599,,0.850462295665234,0.640300839086533
,0.78305,0.55797,,0.93216269639976,0.644653421888397
,0.81864,0.56031,,1.01386546990422,0.64865088012355
,0.85421,0.56203,,1.09555479771239,0.654660710903398
,0.8898,0.5648,,1.17723542536414,0.661972665094518
,0.92539,0.56705,,1.25147328889713,0.671202022446081
,0.96104,0.57217,,1.29596685552716,0.684095976492624
,0.99668,0.57678,,1.2959059544322,0.693210840371532
,1.02936,0.58152,,1.30327692029037,0.702039243544522
,1.03838,0.58749,,1.29944691809626,0.719254758623057
,1.03852,0.59378,,1.29068586057855,0.733140691615801
,1.03697,0.60352,,1.28433257135083,0.757336068298501
,1.02841,0.61393,,1.27866333192185,0.771820016209804
,1.03772,0.62338,,1.26801325294084,0.790425421555377
,1.04467,0.6288,,1.25651773625945,0.805829435175488
,1.05427,0.6348,,1.25416695399402,0.824058292917663
,1.06331,0.64156,,1.25031060965964,0.845216348324774
,1.07379,0.6468,,1.23779325960639,0.865285917494993
,1.07988,0.65413,,1.23892427994135,0.88134592290938
,1.07856,0.66133,,1.2332474278755,0.896969228805546
,1.08161,0.665,,1.2312757549262,0.914058873565466
,1.08175,0.67128,,1.22745022364581,0.930605241890985
,1.08291,0.67879,,1.22735452192516,0.944928599414985
,1.08729,0.68641,,1.21796777815804,0.959790883295172
,1.09312,0.69363,,1.20540143953171,0.982508091185309
,1.09532,0.70323,,,
,1.10043,0.71082,,,
,1.10055,0.71632,,,
,1.10367,0.72296,,,
,1.10853,0.72858,,,
,1.10694,0.73675,,,
,1.11008,0.74461,,,
,1.11019,0.74932,,,
,1.11331,0.756,,,
,1.11344,0.76163,,,
,1.11358,0.76792,,,
,1.11675,0.77721,,,
,1.12289,0.78668,,,
,1.12304,0.79297,,,
,1.12318,0.79926,,,
,1.12333,0.80554,,,
,1.12471,0.81407,,,
,1.12375,0.82405,,,
,1.12514,0.83313,,,
,1.12714,0.84256,,,
,1.12607,0.85117,,,
,1.12757,0.86142,,,
,1.12771,0.86771,,,
,1.12786,0.874,,,
,1.128,0.88028,,,
,1.12815,0.88657,,,
,1.12829,0.89286,,,
,1.12844,0.89914,,,
,1.12858,0.90543,,,
,1.12872,0.91172,,,
,1.12887,0.918,,,
,1.12901,0.92429,,,
,1.12916,0.93058,,,
,1.1293,0.93686,,,
,1.12945,0.94315,,,
,1.12959,0.94943,,,
,1.12973,0.95572,,,
,1.12988,0.96201,,,
,1.13002,0.96829,,,
,1.13017,0.97458,,,
,1.13031,0.98087,,,
,1.13046,0.98715,,,
,1.13355,0.99291,,,
